COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
Atlantic,67830,49902,1157,57.05,41.97,0.97,118889,43.93,131622,138987,48.64,51.36,270609,39709
Bergen,225367,186118,4424,54.19,44.75,1.06,415909,46.74,433344,456571,48.69,51.31,889915,67375
Burlington,131219,89626,2930,58.64,40.05,1.31,223775,50.23,220905,224587,49.59,50.41,445492,47985
Camden,159259,68317,3304,68.98,29.59,1.43,230880,44.59,251317,266422,48.54,51.46,517739,42260
Cape May,22893,27288,802,44.9,53.52,1.57,50983,52.85,46395,50075,48.09,51.91,96470,47398
Cumberland,34919,22360,915,60,38.42,1.57,58194,37.12,81009,75775,51.67,48.33,156784,32735
Essex,240306,73975,2181,75.94,23.38,0.69,316462,41.26,370039,397036,48.24,51.76,767075,51039
Gloucester,77267,60315,2364,55.21,43.1,1.69,139946,48.56,140511,147657,48.76,51.24,288168,40898
Hudson,154140,52354,2116,73.89,25.1,1.01,208610,35.23,293539,298572,49.57,50.43,592111,43464
Hunterdon,29776,39092,1147,42.53,55.83,1.64,70015,53.94,64920,64886,50.01,49.99,129806,68827
Mercer,107926,50397,2229,67.22,31.39,1.39,160552,44.04,179505,185066,49.24,50.76,364571,52752
Middlesex,193812,122586,4367,60.42,38.22,1.36,320765,40.84,387945,397379,49.4,50.6,785324,49036
Monmouth,148737,160433,4244,47.46,51.19,1.35,313414,48.83,314756,327108,49.04,50.96,641864,59079
Morris,112275,132331,2913,45.36,53.46,1.18,247519,50.83,240673,246273,49.42,50.58,486946,71990
Ocean,110189,160677,4111,40.07,58.43,1.5,274977,48.27,272938,296724,47.91,52.09,569662,41275
Passaic,113257,71850,1904,60.56,38.42,1.02,187011,38.29,238314,250050,48.8,51.2,488364,41658
Salem,16044,14816,672,50.88,46.99,2.13,31532,47.64,32227,33967,48.69,51.31,66194,39254
Somerset,79321,70085,2024,52.38,46.28,1.34,151430,46.86,159714,163446,49.42,50.58,323160,73126
Sussex,28840,44184,1393,38.75,59.37,1.87,74417,49.14,75427,76004,49.81,50.19,151431,49743
Union,141417,78768,2241,63.58,35.41,1.01,222426,42.63,254792,267024,48.83,51.17,521816,51651
Warren,20628,27500,980,42.01,56,2,49108,44.69,53881,56016,49.03,50.97,109897,44079
Statewide,2215422,1602974,48418,57.29,41.45,1.25,3866814,44.63,4243773,4419625,48.99,51.01,8663398,51831
