COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,WINNER,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
Bergen,207666,189833,2745,51.88,47.43,0.69,400244,Democrat,44.96,430968,459264,48.41,51.59,890232,55322
Hunterdon,26050,39888,742,39.07,59.82,1.11,66680,Republican,52.02,63678,64492,49.68,50.32,128170,60457
Morris,98066,135241,1847,41.7,57.51,0.79,235154,Republican,48.77,244890,237265,50.79,49.21,482155,60234
Somerset,66476,72508,1295,47.39,51.69,0.92,140279,Republican,44.92,161984,150335,51.86,48.14,312319,61059
