YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,"137,765","81,427","1,741",62.36,36.86,0.79,"220,933",43.09,"248,185","264,525",48.41,51.59,"512,710","35,957"
2008,"159,259","68,317","3,304",68.98,29.59,1.43,"230,880",44.59,"251,317","266,422",48.54,51.46,"517,739","42,260"
2012,"153,682","69,476","2,270",68.17,30.82,0.03,"225,428",43.9,"247,813","265,726",48.26,51.74,"513,539","45,540"
