YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,"94,962","75,200","1,149",55.43,43.9,0.67,"171,311",34.92,"247,881","242,646",50.53,49.47,"490,527","34,215"
2008,"113,257","71,850","1,904",60.56,38.42,1.02,"187,011",38.29,"238,314","250,050",48.8,51.2,"488,364","41,658"
2012,"115,926","64,523","1,539",63.7,35.45,0.04,"181,988",36.19,"245,698","257,187",48.86,51.14,"502,885","44,900"
