YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,133773,163650,2516,44.6,54.56,0.84,299939,46.87,306091,333896,47.83,52.17,639987,48528
2008,148737,160433,4244,47.46,51.19,1.35,313414,48.83,314756,327108,49.04,50.96,641864,59079
2012,133145,147513,3320,46.89,51.95,0.02,283978,45.12,306121,323263,48.64,51.36,629384,61426
