YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,166628,126492,2685,56.33,42.76,0.91,295805,38.21,411739,362470,53.18,46.82,774209,40506
2008,193812,122586,4367,60.42,38.22,1.36,320765,40.84,387945,397379,49.4,50.6,785324,49036
2012,190555,107310,3450,63.24,35.61,0.02,301315,36.61,405437,417604,49.26,50.74,823041,52108
