YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,13749,15721,311,46.17,52.79,1.04,29781,45.88,31499,33415,48.52,51.48,64914,33302
2008,16044,14816,672,50.88,46.99,2.13,31532,47.64,32227,33967,48.69,51.31,66194,39254
2012,14719,14334,448,49.89,48.59,0.17,29501,44.85,31999,33775,48.65,51.35,65774,42350
