YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,26050,39888,742,39.07,59.82,1.11,66680,52.02,63678,64492,49.68,50.32,128170,60457
2008,29776,39092,1147,42.53,55.83,1.64,70015,53.94,64920,64886,50.01,49.99,129806,68827
2012,26876,38687,931,40.42,58.18,0.06,66494,52.33,62553,64517,49.23,50.77,127070,72131
