YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,98066,135241,1847,41.7,57.51,0.79,235154,48.77,244890,237265,50.79,49.21,482155,60234
2008,112275,132331,2913,45.36,53.46,1.18,247519,50.83,240673,246273,49.42,50.58,486946,71990
2012,100146,124947,2299,44.04,54.95,0.02,227392,45.66,243641,254358,48.92,51.08,497999,74057
