YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,55746,49487,864,52.54,46.64,0.81,106097,39.88,129156,136859,48.55,51.45,266015,35055
2008,67830,49902,1157,57.05,41.97,0.97,118889,43.93,131622,138987,48.64,51.36,270609,39709
2012,65600,46522,1057,57.96,41.1,0.05,113179,41.09,133574,141848,48.5,51.5,275422,42099
