YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,27875,24362,948,52.41,45.81,1.78,53185,35.4,77019,73208,51.27,48.73,150227,27962
2008,34919,22360,915,60,38.42,1.57,58194,37.12,81009,75775,51.67,48.33,156784,32735
2012,34055,20658,579,61.59,37.36,0.11,55292,35.04,81331,76454,51.55,48.45,157785,36551
