YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,91580,56604,1326,61.25,37.86,0.89,149510,41.39,181910,179315,50.36,49.64,361225,45003
2008,107926,50397,2229,67.22,31.39,1.39,160552,44.04,179505,185066,49.24,50.76,364571,52752
2012,104377,47355,1779,67.99,30.85,0.04,153511,41.68,180646,187657,49.05,50.95,368303,55714
