YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,99839,154204,2263,38.95,60.16,0.88,256306,46.45,282090,269708,51.12,48.88,551798,34785
2008,110189,160677,4111,40.07,58.43,1.5,274977,48.27,272938,296724,47.91,52.09,569662,41275
2012,102300,146474,2499,40.71,58.29,0.02,251273,43.29,278726,301744,48.02,51.98,580470,43200
