YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,203681,83374,2293,70.39,28.81,0.79,289348,36.84,376312,409077,47.91,52.09,785389,42058
2008,240306,73975,2181,75.94,23.38,0.69,316462,41.26,370039,397036,48.24,51.76,767075,51039
2012,236618,64406,1995,78.09,21.25,0.03,303019,38.47,378171,409573,48.01,51.99,787744,54879
