YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,119372,82517,1498,58.69,40.57,0.74,203387,38.84,269734,253901,51.51,48.49,523635,43334
2008,141417,78768,2241,63.58,35.41,1.01,222426,42.63,254792,267024,48.83,51.17,521816,51651
2012,139752,68314,1765,66.6,32.56,0.03,209831,38.57,264902,279074,48.7,51.3,543976,53816
