YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,21475,28832,455,42.31,56.8,0.9,50762,50.8,48021,51899,48.06,51.94,99920,40007
2008,22893,27288,802,44.9,53.52,1.57,50983,52.85,46395,50075,48.09,51.91,96470,47398
2012,21657,25781,493,45.18,53.79,0.09,47931,49.77,46971,49333,48.77,51.23,96304,52276
