YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,110411,95936,1609,53.09,46.13,0.77,207956,46.62,220615,225426,49.46,50.54,446041,40901
2008,131219,89626,2930,58.64,40.05,1.31,223775,50.23,220905,224587,49.59,50.41,445492,47985
2012,126377,87401,2158,58.53,40.48,0.03,215936,47.84,221948,229388,49.18,50.82,451336,51079
