YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,66835,60033,1096,52.23,46.91,0.86,127964,46.87,132643,140377,48.58,51.42,273020,34143
2008,77267,60315,2364,55.21,43.1,1.69,139946,48.56,140511,147657,48.76,51.24,288168,40898
2012,74013,59456,1734,54.74,43.98,0.04,135203,46.69,140656,148930,48.57,51.43,289586,44868
