YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,66476,72508,1295,47.39,51.69,0.92,140279,44.92,161984,150335,51.86,48.14,312319,61059
2008,79321,70085,2024,52.38,46.28,1.34,151430,46.86,159714,163446,49.42,50.58,323160,73126
2012,74592,66603,1726,52.19,46.6,0.04,142921,43.61,160298,167409,48.92,51.08,327707,75863
