YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,18044,29542,622,37.43,61.28,1.29,48208,44.33,52137,56611,47.94,52.06,108748,36746
2008,20628,27500,980,42.01,56,2,49108,44.69,53881,56016,49.03,50.97,109897,44079
2012,18745,25744,781,41.41,56.87,0.09,45270,42.05,52359,55294,48.64,51.36,107653,47570
