YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,137765,81427,1741,62.36,36.86,0.79,220933,43.09,248185,264525,48.41,51.59,512710,35957
2008,159259,68317,3304,68.98,29.59,1.43,230880,44.59,251317,266422,48.54,51.46,517739,42260
2012,153682,69476,2270,68.17,30.82,0.03,225428,43.9,247813,265726,48.26,51.74,513539,45540
