YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,207666,189833,2745,51.88,47.43,0.69,400244,44.96,430968,459264,48.41,51.59,890232,55322
2008,225367,186118,4424,54.19,44.75,1.06,415909,46.74,433344,456571,48.69,51.31,889915,67375
2012,212754,169070,3583,55.2,43.87,0.01,385407,41.94,444574,474314,48.38,51.62,918888,69919
