YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,127447,60646,1353,67.27,32.01,0.71,189446,31.58,296116,303813,49.36,50.64,599929,33435
2008,154140,52354,2116,73.89,25.1,1.01,208610,35.23,293539,298572,49.57,50.43,592111,43464
2012,153108,42369,2027,77.52,21.45,0.04,197504,30.28,326070,326232,49.99,50.01,652302,50033
