YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,23990,44506,900,34.57,64.13,1.3,69396,46.15,71945,78415,47.85,52.15,150360,41795
2008,28840,44184,1393,38.75,59.37,1.87,74417,49.14,75427,76004,49.81,50.19,151431,49743
2012,26104,40625,1204,38.43,59.8,0.06,67933,46.07,72973,74469,49.49,50.51,147442,52105
