YEAR,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,94962,75200,1149,55.43,43.9,0.67,171311,34.92,247881,242646,50.53,49.47,490527,34215
2008,113257,71850,1904,60.56,38.42,1.02,187011,38.29,238314,250050,48.8,51.2,488364,41658
2012,115926,64523,1539,63.7,35.45,0.04,181988,36.19,245698,257187,48.86,51.14,502885,44900
